alt,_mean_anger,_mean_disgust,_mean_fear,_mean_hate,_mean_sadness,_meanstd_anger,_meanstd_disgust,_meanstd_fear,_meanstd_hate,_meanstd_sadness,anger_arg_max,anger_arg_min,anger_max,anger_min,disgust_arg_max,disgust_arg_min,disgust_max,disgust_min,fear_arg_max,fear_arg_min,fear_max,fear_min,hate_arg_max,hate_arg_min,hate_max,hate_min,sadness_arg_max,sadness_arg_min,sadness_max,sadness_min
time_series_emotions_neg_forecast_14_7_arima_p12_errors.csv,7.999705179,2.890451726,6.965336631,12.82383887,9.172157554,9.58309361,3.714360661,7.637074178,18.60053784,8.517491656,21/03/2020,29/06/2020,45.524429,0.040025,27/06/2020,27/08/2020,17.113556,0.007478,27/06/2020,10/05/2020,34.085788,0.025756,25/03/2020,08/08/2020,146.137753,0.06159,19/03/2020,14/06/2020,42.215604,0.00753
time_series_emotions_neg_forecast_14_7_mae_rmsprop_errors.csv,6.184504882,1.894014876,5.123138856,8.912393709,7.14447489,7.403435338,2.72278944,6.309232112,11.18713914,7.254119931,15/04/2020,11/08/2020,31.41883128,0.031820834,26/06/2020,17/07/2020,13.51415764,0.01157827,26/06/2020,29/07/2020,31.83404511,0.010805112,25/03/2020,08/07/2020,78.01705826,0.011198643,27/06/2020,30/04/2020,29.55877265,0.036874739
time_series_emotions_neg_forecast_14_7_mae_sgd_errors.csv,4.421743059,1.886829412,4.02246804,8.604708894,6.652030459,4.771864365,2.10843314,4.550540424,13.03191777,6.397914631,04/04/2020,05/06/2020,26.1673905,0.020124613,20/06/2020,27/08/2020,11.67543134,0.019038983,20/06/2020,18/07/2020,25.50621188,0.003613669,30/03/2020,01/07/2020,101.3374473,0.056008441,23/03/2020,04/08/2020,27.18880838,0.081844455
time_series_emotions_neg_forecast_14_7_mse_rmsprop_errors.csv,6.799656185,1.965044087,5.332035663,9.974519431,6.873487063,7.634884272,2.590017558,6.052847139,13.07053898,6.226950017,24/03/2020,16/07/2020,35.80932234,0.101701473,24/06/2020,18/05/2020,12.35106577,0.005822279,24/06/2020,10/08/2020,25.45386136,0.002630276,30/03/2020,29/04/2020,103.1073654,0.059580953,19/03/2020,30/04/2020,28.61381656,0.010445085
time_series_emotions_neg_forecast_14_7_mse_sgd_errors.csv,4.904657945,1.883981874,4.090859692,8.646461768,6.290834549,4.70427754,2.069650382,4.567788884,12.93439242,6.255167722,04/04/2020,25/07/2020,26.30986137,0.106198037,20/06/2020,13/08/2020,11.14534173,0.004872824,20/06/2020,10/05/2020,25.19529352,0.017567036,25/03/2020,25/05/2020,99.13669223,0.013327179,23/03/2020,04/04/2020,26.40888718,0.045352596
time_series_emotions_neg_forecast_14_7_prophet_errors.csv,7.553253458,3.332031363,6.415350304,12.03445045,8.12667172,9.091429448,3.911975036,7.732484307,14.52853373,8.045460444,21/03/2020,06/05/2020,52.437484,0.029897,27/06/2020,12/07/2020,21.420259,0.001032,27/06/2020,15/08/2020,40.544966,0.018089,25/03/2020,21/07/2020,118.64988,0.023105,19/03/2020,07/05/2020,49.555314,0.01572
time_series_emotions_neg_forecast_14_7_var_p12_errors.csv,11.66443384,6.993889363,6.135036369,6.870003875,13.44767438,14.54874765,8.904729469,7.884699109,9.537546957,14.14061951,30/05/2020,02/07/2020,90.445733,0.036061,30/05/2020,05/05/2020,50.950504,0.079232,30/05/2020,12/08/2020,45.519353,0.024344,30/05/2020,11/08/2020,55.88209,0.002686,30/05/2020,06/06/2020,85.514257,0.046493
time_series_emotions_neg_forecast_21_7_arima_p19_errors.csv,7.298748652,2.541029795,5.968369267,14.03328235,7.856425043,8.065661079,3.250173093,6.854033465,18.62423158,7.197310559,11/04/2020,25/08/2020,35.527214,0.002256,26/06/2020,07/06/2020,15.100905,0.007114,26/06/2020,28/04/2020,30.576241,0.037615,30/03/2020,10/08/2020,150.989967,0.039289,30/05/2020,04/04/2020,29.683686,0.014106
time_series_emotions_neg_forecast_21_7_mae_rmsprop_errors.csv,6.506160848,1.862186378,4.800272965,9.512688955,7.702145667,8.760129618,2.465357309,6.4988913,12.62511265,8.193484495,27/06/2020,29/07/2020,38.03984014,0.032717215,20/06/2020,24/08/2020,12.00564706,0.033522797,26/06/2020,01/08/2020,32.36998414,0.039109145,25/03/2020,08/06/2020,85.34265608,0.032401359,27/06/2020,13/05/2020,42.05337438,0.059678459
time_series_emotions_neg_forecast_21_7_mae_sgd_errors.csv,4.113523883,2.041860276,4.134542257,8.428969726,6.643231831,4.828568956,2.170931962,4.50295244,12.83733451,6.23806004,04/04/2020,22/04/2020,25.9008963,0.017073103,20/06/2020,27/08/2020,12.31710748,0.000706663,20/06/2020,09/05/2020,26.72585781,0.013499141,30/03/2020,17/06/2020,101.8050035,0.061359635,23/03/2020,06/05/2020,28.73975849,0.012149029
time_series_emotions_neg_forecast_21_7_mse_rmsprop_errors.csv,6.007810496,2.099076945,5.659900835,9.525468079,7.513159728,7.000755762,3.110032978,8.289370806,12.45898696,8.54244811,26/06/2020,05/06/2020,34.06372453,0.000186691,26/06/2020,08/07/2020,17.29568572,0.006380066,27/06/2020,10/08/2020,46.20190741,0.007750266,25/03/2020,21/07/2020,96.60970602,0.045944549,27/06/2020,24/07/2020,47.55585448,0.068275219
time_series_emotions_neg_forecast_21_7_mse_sgd_errors.csv,4.446675753,2.029442257,4.167513184,8.436349996,6.567735703,4.490267416,2.051400462,4.302829449,12.60643699,6.16738959,04/04/2020,14/06/2020,26.31202002,0.005560072,20/06/2020,21/08/2020,10.67899315,0.038462087,20/06/2020,03/08/2020,23.58337124,0.031751557,30/03/2020,07/06/2020,96.50397299,0.044449757,23/03/2020,24/07/2020,31.29292207,0.093451827
time_series_emotions_neg_forecast_21_7_prophet_errors.csv,8.42412318,3.169104112,6.315999851,13.24273199,7.373762553,7.981509511,4.171573765,6.553673989,14.81691795,6.777381966,24/03/2020,12/08/2020,47.205438,0.07496,27/06/2020,10/05/2020,21.576654,0.009105,27/06/2020,10/05/2020,31.650544,0.004897,25/03/2020,14/05/2020,87.055127,0.024408,23/03/2020,12/07/2020,34.184507,0.012834
time_series_emotions_neg_forecast_21_7_var_p19_errors.csv,9.841187205,5.965014789,5.270750335,5.944638913,11.71604563,14.75888968,8.055960841,7.18239036,9.007520283,15.12030412,30/05/2020,13/07/2020,91.798191,0.046281,30/05/2020,06/08/2020,50.918256,0.033673,30/05/2020,06/08/2020,45.742039,0.008922,30/05/2020,04/08/2020,56.320099,0.019892,28/03/2020,05/06/2020,98.345884,0.028209
time_series_emotions_neg_forecast_7_7_arima_p5_errors.csv,11.08407381,3.724733549,8.326356297,20.54797854,12.55494955,13.44513227,4.708072173,9.330883563,29.06822544,12.65604486,11/04/2020,10/05/2020,64.932967,0.061409,04/07/2020,12/08/2020,25.376519,0.001376,27/06/2020,11/05/2020,39.955485,0.159694,14/03/2020,17/05/2020,142.893852,0.088706,14/03/2020,28/07/2020,54.451722,0.07713
time_series_emotions_neg_forecast_7_7_mae_rmsprop_errors.csv,7.468873095,2.105813665,6.039256013,10.1994947,7.572822327,8.940161837,2.973939657,6.965758942,13.85716895,6.786911572,11/04/2020,13/07/2020,34.18807927,7.84E-05,26/06/2020,02/08/2020,15.42529107,0.022907682,26/06/2020,31/07/2020,31.62688219,0.031822012,08/03/2020,16/07/2020,124.7966807,0.04910694,19/03/2020,05/05/2020,25.07769363,0.026014796
time_series_emotions_neg_forecast_7_7_mae_sgd_errors.csv,6.115066014,2.040740389,4.794612374,10.03577095,7.196385832,6.272265539,2.489617074,5.508855325,16.00403512,7.029314966,09/03/2020,31/03/2020,26.13935052,0.009049256,20/06/2020,28/06/2020,11.25119283,0.017082794,20/06/2020,12/05/2020,24.98514426,0.021813811,08/03/2020,20/08/2020,142.1403083,0.0545954,23/03/2020,29/06/2020,30.10730558,0.06828475
time_series_emotions_neg_forecast_7_7_mse_rmsprop_errors.csv,8.010898213,2.245557318,6.300943376,10.17250018,7.477393151,8.852542459,2.837372198,6.348945837,16.2474524,6.389905213,11/04/2020,25/08/2020,34.7355763,0.039642938,26/06/2020,05/05/2020,14.20404591,0.012989858,26/06/2020,28/04/2020,27.8002818,0.063727137,08/03/2020,07/05/2020,175.4736096,0.011880038,19/03/2020,08/08/2020,25.83025288,0.008598346
time_series_emotions_neg_forecast_7_7_mse_sgd_errors.csv,6.254525822,2.016712055,4.681267398,10.4209666,6.797815465,6.583924096,2.405433922,5.227681411,16.4326361,6.580893461,04/04/2020,24/08/2020,28.59078155,0.027561898,20/06/2020,23/07/2020,11.46392773,0.000398613,20/06/2020,12/07/2020,25.42484537,0.044849765,08/03/2020,13/05/2020,148.0809784,0.210881904,23/03/2020,01/05/2020,28.2043891,0.060456677
time_series_emotions_neg_forecast_7_7_prophet_errors.csv,11.32180813,4.247331629,9.08640392,16.15986543,11.17937719,11.73781618,5.073594775,9.021383566,20.80422169,10.82036462,11/04/2020,16/07/2020,55.091743,0.027194,30/05/2020,16/04/2020,30.440674,0.049362,27/06/2020,16/03/2020,42.348447,0.091297,08/03/2020,17/05/2020,107.817451,0.08394,30/05/2020,29/07/2020,49.240777,0.140163
time_series_emotions_neg_forecast_7_7_var_p5_errors.csv,6.928630463,4.466465657,3.950386726,4.47563936,8.5084362,8.441089644,5.537336306,4.94576923,5.854793349,8.915962546,27/06/2020,20/07/2020,45.974149,0.017017,27/06/2020,21/04/2020,34.033904,0.033739,27/06/2020,22/04/2020,30.222833,0.006268,27/06/2020,11/05/2020,34.300115,0.013489,11/04/2020,28/07/2020,39.004483,0.062959
